"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "CSS", "HTML", "JavaScript", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\login.component.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 3, 47
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\RegisterRequest.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.css", "CSS", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 62
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 48
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 6, 61
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\objects\product.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\product\product.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\product\product.service.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.css", "CSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 62
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 1, 32
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.spec.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 10, 93
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.css", "CSS", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
